學校類型,學校代碼,學校名稱,學位生-正式修讀學位外國生,學位生-僑生(含港澳),學位生-正式修讀學位陸生,非學位生-外國交換生,非學位生-外國短期研習及個人選讀,非學位生-大專附設華語文中心學生,非學位生-大陸研修生,非學位生-海青班,境外專班
大專校院,0001,國立政治大學,518,547,282,513,76,935,…,0,0
大專校院,0002,國立清華大學,382,243,185,60,106,0,…,0,0
大專校院,0003,國立臺灣大學,695,1074,380,788,656,921,…,0,0
大專校院,0004,國立臺灣師範大學,502,573,82,137,79,3955,…,0,0
大專校院,0004A,國立臺灣師大僑生先修部,0,990,0,0,0,0,…,0,0
大專校院,0005,國立成功大學,629,610,136,39,61,1079,…,0,0
大專校院,0006,國立中興大學,261,405,34,61,58,73,…,0,0
大專校院,0007,國立交通大學,496,352,156,160,139,510,…,0,0
大專校院,0008,國立中央大學,339,228,68,81,0,113,…,0,0
大專校院,0009,國立中山大學,204,211,56,136,235,623,…,0,0
大專校院,0012,國立臺灣海洋大學,90,266,17,5,17,0,…,0,0
大專校院,0013,國立中正大學,111,338,29,27,155,0,…,0,0
大專校院,0014,國立高雄師範大學,32,126,13,12,41,143,…,0,0
大專校院,0015,國立彰化師範大學,28,172,16,11,0,165,…,0,65
大專校院,0016,國立陽明大學,97,116,12,8,37,0,…,0,0
大專校院,0017,國立臺北大學,45,260,34,48,41,0,…,0,0
大專校院,0018,國立嘉義大學,78,385,5,4,0,105,…,0,0
大專校院,0019,國立高雄大學,19,157,11,22,0,49,…,0,0
大專校院,0020,國立東華大學,228,310,18,22,0,0,…,0,0
大專校院,0021,國立暨南國際大學,69,570,14,13,2,0,…,0,9
大專校院,0022,國立臺灣科技大學,498,199,108,176,29,0,…,0,0
大專校院,0023,國立雲林科技大學,80,180,61,12,2,0,…,0,24
大專校院,0024,國立屏東科技大學,236,307,5,7,64,136,…,95,0
大專校院,0025,國立臺北科技大學,311,180,49,53,5,116,…,0,0
大專校院,0026,國立高雄第一科技大學,43,83,25,24,14,0,…,0,0
大專校院,0027,國立高雄應用科技大學,142,115,7,10,0,0,…,0,0
大專校院,0028,國立臺北藝術大學,72,124,24,16,0,0,…,0,0
大專校院,0029,國立臺灣藝術大學,77,119,26,2,0,0,…,0,0
大專校院,0030,國立臺東大學,28,84,2,1,1,0,…,0,0
大專校院,0031,國立宜蘭大學,15,134,9,2,0,0,…,0,0
大專校院,0032,國立聯合大學,14,88,10,1,81,50,…,0,0
大專校院,0033,國立虎尾科技大學,53,35,10,1,0,0,…,0,0
大專校院,0034,國立高雄海洋科技大學,15,48,8,1,6,0,…,0,0
大專校院,0035,國立臺南藝術大學,14,10,4,2,0,0,…,0,0
大專校院,0036,國立臺南大學,40,112,14,3,0,0,…,0,0
大專校院,0037,國立臺北教育大學,15,133,10,22,29,510,…,0,0
大專校院,0038,國立清華大學南大校區(原：國立新竹教育大學),24,100,7,0,25,0,…,0,15
大專校院,0039,國立臺中教育大學,98,181,7,7,44,206,…,0,0
大專校院,0042,國立澎湖科技大學,6,39,12,0,0,0,…,0,0
大專校院,0043,國立勤益科技大學,29,43,5,7,0,0,…,0,0
大專校院,0044,國立體育大學,14,44,10,14,45,0,…,0,0
大專校院,0046,國立臺北護理健康大學,52,62,3,41,22,0,…,0,0
大專校院,0047,國立高雄餐旅大學,79,174,12,26,0,0,…,0,0
大專校院,0048,國立金門大學,0,67,121,1,0,0,…,0,0
大專校院,0049,國立臺灣體育運動大學,5,81,4,0,0,0,…,0,0
大專校院,0050,國立臺中科技大學,12,97,12,1,41,0,…,0,0
大專校院,0051,國立臺北商業大學,9,129,20,31,0,0,…,0,0
大專校院,0052,國立屏東大學,5,161,10,4,0,49,…,0,0
大專校院,0144,國立臺灣戲曲學院,0,2,7,0,0,0,…,0,0
大專校院,1001,東海大學,275,480,343,90,50,430,…,0,0
大專校院,1002,輔仁大學,209,639,522,128,0,773,…,0,0
大專校院,1003,東吳大學,60,414,157,91,9,187,…,0,0
大專校院,1004,中原大學,243,382,353,48,155,522,…,0,0
大專校院,1005,淡江大學,394,946,497,109,0,1308,…,0,0
大專校院,1006,中國文化大學,302,723,417,176,14,2326,…,230,0
大專校院,1007,逢甲大學,477,565,420,45,280,367,…,325,0
大專校院,1008,靜宜大學,142,302,262,137,86,431,…,205,0
大專校院,1009,長庚大學,174,141,58,2,93,0,…,0,0
大專校院,1010,元智大學,221,231,177,48,91,0,…,0,0
大專校院,1011,中華大學,93,32,24,4,0,88,…,0,0
大專校院,1012,大葉大學,105,267,32,0,4,0,…,89,0
大專校院,1013,華梵大學,29,9,13,2,0,0,…,0,0
大專校院,1014,義守大學,655,577,168,8,0,389,…,0,51
大專校院,1015,世新大學,193,462,278,25,5,0,…,0,0
大專校院,1016,銘傳大學,802,758,519,113,1008,482,…,470,0
大專校院,1017,實踐大學,89,475,145,28,38,33,…,0,0
大專校院,1018,朝陽科技大學,201,204,139,31,0,0,…,0,0
大專校院,1019,高雄醫學大學,105,309,11,0,93,0,…,0,0
大專校院,1020,南華大學,143,29,7,24,0,0,…,0,0
大專校院,1021,真理大學,25,70,3,5,0,0,…,0,0
大專校院,1022,大同大學,3,45,54,14,14,0,…,0,0
大專校院,1023,南臺科技大學,247,117,100,3,82,181,…,0,0
大專校院,1024,崑山科技大學,106,55,52,8,96,175,…,0,0
大專校院,1025,嘉南藥理大學,13,26,14,0,27,0,…,0,0
大專校院,1026,樹德科技大學,132,171,127,9,9,0,…,0,27
大專校院,1027,慈濟大學,131,86,16,15,0,368,…,0,0
大專校院,1028,臺北醫學大學,178,277,47,0,386,0,…,0,0
大專校院,1029,中山醫學大學,11,297,16,0,12,0,…,0,0
大專校院,1030,龍華科技大學,138,28,62,22,0,49,…,117,82
大專校院,1031,輔英科技大學,7,90,1,0,38,0,…,0,0
大專校院,1032,明新科技大學,94,16,0,0,0,0,…,0,0
大專校院,1033,長榮大學,35,206,7,21,62,0,…,0,0
大專校院,1034,弘光科技大學,93,184,16,0,0,0,…,193,0
大專校院,1035,中國醫藥大學,82,253,30,3,336,0,…,0,0
大專校院,1036,健行科技大學,17,11,4,4,0,0,…,0,0
大專校院,1037,正修科技大學,35,57,32,19,0,0,…,0,0
大專校院,1038,萬能科技大學,308,32,7,0,0,0,…,0,0
大專校院,1039,玄奘大學,138,175,4,0,0,0,…,0,0
大專校院,1040,建國科技大學,90,24,4,24,0,61,…,110,0
大專校院,1041,明志科技大學,18,2,18,1,0,0,…,0,0
大專校院,1042,高苑科技大學,9,33,1,5,0,8,…,0,0
大專校院,1043,大仁科技大學,23,62,0,2,38,0,…,0,0
大專校院,1044,聖約翰科技大學,100,33,28,4,0,0,…,0,0
大專校院,1045,嶺東科技大學,37,68,76,0,0,0,…,0,0
大專校院,1046,中國科技大學,15,26,76,7,14,0,…,0,0
大專校院,1047,中臺科技大學,36,36,6,0,114,0,…,0,0
大專校院,1048,亞洲大學,142,206,57,14,128,0,…,0,0
大專校院,1049,開南大學,341,59,3,50,30,57,…,0,0
大專校院,1050,佛光大學,76,54,22,13,0,87,…,0,0
大專校院,1051,台南應用科技大學,14,38,17,6,0,0,…,0,0
大專校院,1052,遠東科技大學,22,5,6,10,0,0,…,0,0
大專校院,1053,元培醫事科技大學,38,23,13,0,67,0,…,126,0
大專校院,1054,景文科技大學,45,80,34,0,0,0,…,0,0
大專校院,1055,中華醫事科技大學,5,10,1,0,1,0,…,0,0
大專校院,1056,東南科技大學,43,25,7,0,0,0,…,0,0
大專校院,1057,德明財經科技大學,167,6,6,0,0,0,…,0,0
大專校院,1058,明道大學,117,172,5,11,0,0,…,150,0
大專校院,1059,康寧大學,0,0,0,4,0,0,…,0,0
大專校院,1060,南開科技大學,12,22,1,0,0,0,…,0,0
大專校院,1061,中華科技大學,11,13,9,0,0,2,…,0,0
大專校院,1062,僑光科技大學,2,12,2,4,0,0,…,0,0
大專校院,1063,育達科技大學,43,5,0,0,18,0,…,0,0
大專校院,1064,美和科技大學,3,5,0,0,0,0,…,0,206
