學校類型,學校代碼,學校名稱,學位生-正式修讀學位外國生,學位生-僑生(含港澳),學位生-正式修讀學位陸生,非學位生-外國交換生,非學位生-外國短期研習及個人選讀,非學位生-大專附設華語文中心學生,非學位生-大陸研修生,非學位生-海青班,境外專班
大專校院,1065,吳鳳科技大學,92,7,0,1,0,0,…,0,0
大專校院,1066,環球科技大學,294,31,6,16,0,0,…,202,0
大專校院,1067,台灣首府大學,65,115,5,0,0,45,…,0,0
大專校院,1068,中州科技大學,34,7,0,14,0,0,…,0,0
大專校院,1069,修平科技大學,30,1,0,0,0,0,…,0,0
大專校院,1070,長庚科技大學,0,39,4,0,8,0,…,0,0
大專校院,1071,臺北城市科技大學,17,27,1,2,0,49,…,0,0
大專校院,1072,大華科技大學,4,7,0,0,4,0,…,87,0
大專校院,1073,醒吾科技大學,16,20,4,0,0,0,…,0,13
大專校院,1074,南榮科技大學,19,4,0,0,0,7,…,0,0
大專校院,1075,文藻外語大學,72,40,53,80,0,459,…,0,0
大專校院,1076,華夏科技大學,7,7,3,0,0,0,…,0,0
大專校院,1077,慈濟科技大學,32,1,3,0,36,0,…,0,0
大專校院,1078,致理科技大學,15,5,22,0,2,0,…,0,0
大專校院,1079,康寧大學,4,12,0,0,0,0,…,0,0
大專校院,1148,大漢技術學院,1,2,2,0,0,0,…,0,0
大專校院,1159,和春技術學院,24,4,0,0,0,0,…,0,0
大專校院,1166,亞東技術學院,0,3,0,0,0,0,…,0,0
大專校院,1168,南亞技術學院,24,1,0,3,0,23,…,0,0
大專校院,1176,稻江科技暨管理學院,5,2,0,0,0,0,…,0,0
大專校院,1179,德霖技術學院,0,9,1,0,0,0,…,0,0
大專校院,1182,蘭陽技術學院,0,1,0,0,0,0,…,0,0
大專校院,1183,黎明技術學院,4,5,0,0,0,0,…,0,0
大專校院,1184,東方設計學院,8,9,4,0,0,0,…,0,0
大專校院,1185,經國管理暨健康學院,4,1,0,0,0,0,…,0,0
大專校院,1187,崇右技術學院,34,16,6,0,1,0,…,0,0
大專校院,1188,大同技術學院,2,1,1,0,0,0,…,0,0
大專校院,1189,亞太創意技術學院,0,4,2,0,0,0,…,0,0
大專校院,1192,臺灣觀光學院,0,9,0,0,0,0,…,0,0
大專校院,1195,馬偕醫學院,0,4,0,0,0,0,…,0,0
大專校院,1196,法鼓文理學院,31,6,2,0,4,0,…,0,0
大專校院,1197,台北海洋技術學院,7,9,7,0,0,0,…,0,0
大專校院,1282,馬偕醫護管理專科學校,0,1,0,0,0,0,…,0,0
大專校院,1284,樹人醫護管理專科學校,0,0,0,0,22,0,…,0,0
大專校院,1286,耕莘健康管理專科學校,0,1,0,0,0,0,…,0,0
大專校院,1292,新生醫護管理專科學校,0,2,0,0,0,0,…,0,0
大專校院,3002,臺北市立大學,14,140,11,11,0,0,…,0,0
無,9999,無法區分校別,0,0,0,0,0,0,34114,0,0
宗教研修學院,1R02,基督教台灣浸會神學院,2,0,0,0,0,0,…,0,0
宗教研修學院,1R03,臺北基督學院,8,0,0,0,0,0,…,0,0
軍警大專校院,M104,國防醫學院,0,88,0,0,0,0,…,0,0
